Dir,Train Line,Train ID,Train Key,Stn01,Stn02,Stn03,Stn04,Stn05,Stn06,Stn07,Stn08,Stn09,Stn10,Stn11,Stn12,Stn13,Stn14,Stn15,Stn16,Stn17,Stn18,Stn19,Stn20,Stn21,Stn22,Stn23,Stn24,Stn25,Stn26,Stn27,Stn28,Stn29,Stn30,Stn31,Stn32,Stn33,Stn34,Dptr01,Dptr02,Dptr03,Dptr04,Dptr05,Dptr06,Dptr07,Dptr08,Dptr09,Dptr10,Dptr11,Dptr12,Dptr13,Dptr14,Dptr15,Dptr16,Dptr17,Dptr18,Dptr19,Dptr20,Dptr21,Dptr22,Dptr23,Dptr24,Dptr25,Dptr26,Dptr27,Dptr28,Dptr29,Dptr30,Dptr31,Dptr32,Dptr33,Dptr34
IN,ELML,126,ELML_126,University Park,Richton Park,Matteson,"211th St., Lincoln Hwy.",Olympia Fields,Flossmoor,Homewood,Calumet,Hazel Crest,Harvey,"147th St., Sibley Blvd.",Ivanhoe,Riverdale,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,13:57,14:01,14:03,14:05,14:07,14:10,14:13,14:15,14:17,14:20,14:22,14:24,14:26,14:31,-,-,-,-,-,-,-,-,-,-,-,14:42,-,-,-,-,-,14:51,14:54,14:57
IN,ELML,128,ELML_128,University Park,Richton Park,Matteson,"211th St., Lincoln Hwy.",Olympia Fields,Flossmoor,Homewood,Calumet,Hazel Crest,Harvey,"147th St., Sibley Blvd.",Ivanhoe,Riverdale,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,14:57,15:01,15:03,15:05,15:07,15:10,15:13,15:15,15:17,15:20,15:22,15:24,15:26,15:31,-,-,-,-,-,-,-,-,-,-,-,15:42,-,-,-,-,-,15:51,15:54,15:57
IN,ELML,130,ELML_130,University Park,Richton Park,Matteson,"211th St., Lincoln Hwy.",Olympia Fields,Flossmoor,Homewood,Calumet,Hazel Crest,Harvey,"147th St., Sibley Blvd.",Ivanhoe,Riverdale,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,15:57,16:01,16:03,16:05,16:07,16:10,16:13,16:15,16:17,16:20,16:22,16:24,16:26,16:31,-,-,-,-,-,-,-,-,-,-,-,16:42,-,-,-,-,-,16:51,16:54,16:58
IN,ELML,132,ELML_132,University Park,Richton Park,Matteson,"211th St., Lincoln Hwy.",Olympia Fields,Flossmoor,Homewood,Calumet,Hazel Crest,Harvey,"147th St., Sibley Blvd.",Ivanhoe,Riverdale,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,16:36,16:40,16:42,16:44,16:46,16:49,16:51,16:53,16:55,16:58,17:00,17:02,17:04,17:09,-,-,-,-,-,-,-,-,-,-,-,17:20,-,-,-,-,-,17:30,17:34,17:40
IN,ELML,136,ELML_136,University Park,Richton Park,Matteson,"211th St., Lincoln Hwy.",Olympia Fields,Flossmoor,Homewood,Calumet,Hazel Crest,Harvey,"147th St., Sibley Blvd.",Ivanhoe,Riverdale,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,17:40,17:44,17:47,17:49,17:51,17:54,17:57,17:59,18:01,18:04,18:06,18:08,18:10,18:15,18:16,18:17,18:18,18:19,18:20,18:21,18:22,18:23,18:24,18:26,-,18:29,18:31,-,18:35,18:37,-,18:40,18:43,18:47
IN,ELML,140,ELML_140,University Park,Richton Park,Matteson,"211th St., Lincoln Hwy.",Olympia Fields,Flossmoor,Homewood,Calumet,Hazel Crest,Harvey,"147th St., Sibley Blvd.",Ivanhoe,Riverdale,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,18:40,18:44,18:47,18:49,18:51,18:53,18:55,18:57,18:59,19:02,19:04,19:06,19:08,19:13,19:14,19:15,19:16,19:17,19:18,19:19,19:20,19:21,19:22,19:24,-,19:26,-,-,-,-,-,19:35,19:38,19:43
IN,ELML,142,ELML_142,University Park,Richton Park,Matteson,"211th St., Lincoln Hwy.",Olympia Fields,Flossmoor,Homewood,Calumet,Hazel Crest,Harvey,"147th St., Sibley Blvd.",Ivanhoe,Riverdale,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,19:40,19:43,19:46,19:48,19:50,19:52,19:54,19:56,19:58,20:01,20:03,20:05,20:07,20:11,20:13,20:14,20:16,20:18,20:19,20:20,20:22,20:23,20:24,20:27,20:29,20:30,20:32,20:33,20:36,20:38,20:39,20:41,20:43,20:47
IN,ELML,144,ELML_144,University Park,Richton Park,Matteson,"211th St., Lincoln Hwy.",Olympia Fields,Flossmoor,Homewood,Calumet,Hazel Crest,Harvey,"147th St., Sibley Blvd.",Ivanhoe,Riverdale,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,20:40,20:43,20:46,20:48,20:50,20:52,20:54,20:56,20:58,21:01,21:03,21:05,21:07,21:11,21:13,21:14,21:16,21:18,21:19,21:20,21:22,21:23,21:24,21:27,21:29,21:30,21:32,21:33,21:36,21:38,21:39,21:41,21:43,21:47
IN,ELML,146,ELML_146,University Park,Richton Park,Matteson,"211th St., Lincoln Hwy.",Olympia Fields,Flossmoor,Homewood,Calumet,Hazel Crest,Harvey,"147th St., Sibley Blvd.",Ivanhoe,Riverdale,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,21:40,21:43,21:46,21:48,21:50,21:52,21:54,21:56,21:58,22:01,22:03,22:05,22:07,22:11,22:13,22:14,22:16,22:18,22:19,22:20,22:22,22:23,22:24,22:27,22:29,22:30,22:32,22:33,22:36,22:38,22:39,22:41,22:43,22:47
IN,ELML,148,ELML_148,University Park,Richton Park,Matteson,"211th St., Lincoln Hwy.",Olympia Fields,Flossmoor,Homewood,Calumet,Hazel Crest,Harvey,"147th St., Sibley Blvd.",Ivanhoe,Riverdale,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,22:40,22:43,22:46,22:48,22:50,22:52,22:54,22:56,22:58,23:01,23:03,23:05,23:07,23:11,23:13,23:14,23:16,23:18,23:19,23:20,23:22,23:23,23:24,23:27,23:29,23:30,23:32,23:33,23:36,23:38,23:39,23:41,23:43,23:47
