Dir,Train Line,Train ID,Train Key,Stn01,Stn02,Stn03,Stn04,Stn05,Stn06,Stn07,Stn08,Stn09,Stn10,Stn11,Stn12,Stn13,Stn14,Stn15,Stn16,Stn17,Stn18,Stn19,Stn20,Stn21,Stn22,Stn23,Stn24,Stn25,Stn26,Stn27,Stn28,Stn29,Stn30,Stn31,Stn32,Stn33,Stn34,Dptr01,Dptr02,Dptr03,Dptr04,Dptr05,Dptr06,Dptr07,Dptr08,Dptr09,Dptr10,Dptr11,Dptr12,Dptr13,Dptr14,Dptr15,Dptr16,Dptr17,Dptr18,Dptr19,Dptr20,Dptr21,Dptr22,Dptr23,Dptr24,Dptr25,Dptr26,Dptr27,Dptr28,Dptr29,Dptr30,Dptr31,Dptr32,Dptr33,Dptr34
IN,ELML,150,ELML_150,University Park,Richton Park,Matteson,"211th St., Lincoln Hwy.",Olympia Fields,Flossmoor,Homewood,Calumet,Hazel Crest,Harvey,"147th St., Sibley Blvd.",Ivanhoe,Riverdale,"Kensington, 115th St.","111th St., Pullman",107th Street,"103rd St., Rosemoor","95th St., Chicago State Univ.","91st St., Chesterfield","87th St., Woodruff","83rd St., Avalon Park","79th St., Chatham","75th St., Grand Crossing",63rd Street,"59th St., Univ. of Chicago",55th-56th-57th St.,"53rd St., Hyde Park","47th St., Kenwood",27th Street,McCormick Place,18th Street,Museum Campus/11th Street,Van Buren Street,Millennium Station at Randolph Street,23:40,23:43,23:46,23:48,23:50,23:52,23:54,23:56,23:58,0:01,0:03,0:05,0:07,0:11,0:13,0:14,0:16,0:18,0:19,0:20,0:22,0:23,0:24,0:27,0:29,0:30,0:32,0:33,0:36,0:38,0:39,0:41,0:43,0:47
OUT,ELML,103,ELML_103,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,5:15,5:17,5:20,5:22,5:23,5:25,5:28,5:30,5:31,5:33,5:34,5:38,5:39,5:40,5:41,5:42,5:43,5:45,5:46,5:48,5:50,5:54,5:56,5:58,6:00,6:03,6:05,6:07,6:10,6:12,6:15,6:17,6:21,6:25
OUT,ELML,105,ELML_105,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,6:35,6:37,6:39,-,-,-,-,-,6:47,-,6:49,6:53,6:54,6:55,6:56,6:58,6:59,7:01,7:02,7:04,7:07,7:11,7:13,7:15,7:17,7:20,7:22,7:24,7:27,7:29,7:31,7:33,7:36,7:42
OUT,ELML,111,ELML_111,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,7:48,7:50,7:53,-,7:56,-,-,8:00,8:02,8:04,8:06,-,-,-,-,-,8:11,-,-,-,8:15,8:19,8:21,8:23,8:25,8:29,8:31,8:33,8:35,8:38,8:40,8:42,8:45,8:53
OUT,ELML,113,ELML_113,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,8:30,8:32,8:35,-,8:37,8:38,-,8:43,8:45,8:47,-,-,-,-,-,-,-,-,-,-,8:57,9:02,9:04,9:06,9:08,9:11,9:13,9:15,9:18,9:21,9:23,9:25,9:28,9:34
OUT,ELML,115,ELML_115,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,9:30,9:32,9:35,-,-,-,-,-,9:42,-,9:44,-,-,-,-,-,-,-,-,-,9:53,9:58,10:00,10:02,10:04,10:07,10:09,10:11,10:14,10:17,10:19,10:21,10:24,10:30
OUT,ELML,117,ELML_117,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,10:30,10:32,10:35,-,-,-,-,-,10:42,-,10:44,-,-,-,-,-,-,-,-,-,10:53,10:58,11:00,11:02,11:04,11:07,11:09,11:11,11:14,11:17,11:19,11:21,11:24,11:30
OUT,ELML,119,ELML_119,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,11:30,11:32,11:35,-,-,-,-,-,11:42,-,11:44,-,-,-,-,-,-,-,-,-,11:53,11:58,12:00,12:02,12:04,12:07,12:09,12:11,12:14,12:17,12:19,12:21,12:24,12:30
OUT,ELML,121,ELML_121,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,12:30,12:32,12:35,-,-,-,-,-,12:42,-,12:44,-,-,-,-,-,-,-,-,-,12:53,12:58,13:00,13:02,13:04,13:07,13:09,13:11,13:14,13:17,13:19,13:21,13:24,13:30
OUT,ELML,123,ELML_123,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,13:30,13:32,13:35,-,-,-,-,-,13:42,-,13:44,-,-,-,-,-,-,-,-,-,13:53,13:58,14:00,14:02,14:04,14:07,14:09,14:11,14:14,14:17,14:19,14:21,14:24,14:30
OUT,ELML,125,ELML_125,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,14:30,14:32,14:35,-,-,-,-,-,14:42,-,14:47,-,-,-,-,-,-,-,-,-,14:55,15:00,15:02,15:04,15:06,15:09,15:11,15:13,15:16,15:19,15:21,15:23,15:26,15:32
OUT,ELML,127,ELML_127,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,15:20,15:22,15:25,-,-,-,-,-,15:32,-,-,-,-,-,-,-,-,-,-,-,15:43,15:48,15:50,15:52,15:54,15:57,15:59,16:01,16:04,16:07,16:09,16:11,16:14,16:20
OUT,ELML,129,ELML_129,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,15:45,15:48,15:51,-,-,-,-,-,15:58,-,-,-,-,-,-,-,-,-,-,-,16:09,16:14,16:16,16:18,16:21,16:24,16:26,16:28,16:32,16:35,16:37,16:39,16:42,16:50
OUT,ELML,131,ELML_131,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,16:08,16:11,16:14,-,-,-,-,-,16:22,-,-,-,-,-,-,-,-,-,-,-,16:33,16:38,16:40,16:43,16:45,16:48,16:50,16:52,16:55,16:58,17:01,17:04,17:07,17:12
OUT,ELML,701,ELML_701,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,16:32,16:35,16:38,-,-,-,-,-,16:45,-,-,-,-,-,-,-,-,-,-,-,16:56,-,-,-,-,-,-,-,-,17:12,17:15,17:18,17:22,17:26
OUT,ELML,731,ELML_731,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,16:35,16:38,16:41,-,-,-,-,-,16:48,-,-,-,-,-,-,-,-,-,-,-,16:59,-,-,-,-,17:08,17:11,17:14,17:17,-,-,-,-,-
OUT,ELML,751,ELML_751,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,16:38,16:41,16:44,-,-,-,-,-,16:51,-,-,-,-,-,-,-,-,-,-,-,17:02,17:06,17:09,17:12,17:15,-,-,-,-,-,-,-,-,-
OUT,ELML,703,ELML_703,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,16:47,16:50,16:53,-,-,-,-,-,17:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17:26,17:29,17:32,17:36,17:40
OUT,ELML,601,ELML_601,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,16:48,16:51,16:53,-,16:56,16:58,-,17:03,17:04,17:06,17:07,17:10,17:12,17:13,17:15,17:17,17:19,17:21,17:23,17:25,17:27,-,-,-,-,-,-,-,-,-,-,-,-,-
OUT,ELML,733,ELML_733,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,16:50,16:53,16:56,-,-,-,-,-,17:03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17:22,17:25,17:28,17:31,-,-,-,-,-
OUT,ELML,753,ELML_753,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,16:53,16:56,16:59,-,-,-,-,-,17:06,-,-,-,-,-,-,-,-,-,-,-,17:17,17:21,17:24,17:27,17:30,-,-,-,-,-,-,-,-,-
OUT,ELML,705,ELML_705,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,17:02,17:05,17:08,-,-,-,-,-,17:15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17:41,17:44,17:47,17:51,17:55
OUT,ELML,735,ELML_735,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,17:05,17:08,17:11,-,-,-,-,-,17:18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17:37,17:40,17:43,17:46,-,-,-,-,-
OUT,ELML,755,ELML_755,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,17:08,17:11,17:14,-,-,-,-,-,17:21,-,-,-,-,-,-,-,-,-,-,-,17:32,17:36,17:39,17:42,17:45,-,-,-,-,-,-,-,-,-
OUT,ELML,707,ELML_707,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,17:17,17:20,17:23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17:40,-,-,-,-,-,-,-,-,17:56,17:59,18:02,18:06,18:10
OUT,ELML,737,ELML_737,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,17:20,17:23,17:26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17:43,-,-,-,-,17:52,17:55,17:58,18:01,-,-,-,-,-
OUT,ELML,603,ELML_603,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,17:21,17:23,17:26,-,-,-,-,17:34,17:36,17:38,17:40,17:43,17:45,17:46,17:48,17:50,17:51,17:53,17:55,17:57,17:59,-,-,-,-,-,-,-,-,-,-,-,-,-
OUT,ELML,757,ELML_757,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,17:23,17:26,17:29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17:46,17:50,17:53,17:56,17:59,-,-,-,-,-,-,-,-,-
OUT,ELML,709,ELML_709,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,17:37,17:40,17:43,-,-,-,-,-,17:50,-,-,-,-,-,-,-,-,-,-,-,18:01,-,-,-,-,-,-,-,-,18:18,18:21,18:24,18:27,18:31
OUT,ELML,739,ELML_739,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,17:40,17:43,17:46,-,-,-,-,-,17:53,-,-,-,-,-,-,-,-,-,-,-,18:04,-,-,-,-,18:13,18:16,18:19,18:22,-,-,-,-,-
OUT,ELML,759,ELML_759,Millennium Station at Randolph Street,Van Buren Street,Museum Campus/11th Street,18th Street,McCormick Place,27th Street,"47th St., Kenwood","53rd St., Hyde Park",55th-56th-57th St.,"59th St., Univ. of Chicago",63rd Street,"75th St., Grand Crossing","79th St., Chatham","83rd St., Avalon Park","87th St., Woodruff","91st St., Chesterfield","95th St., Chicago State Univ.","103rd St., Rosemoor",107th Street,"111th St., Pullman","Kensington, 115th St.",Riverdale,Ivanhoe,"147th St., Sibley Blvd.",Harvey,Hazel Crest,Calumet,Homewood,Flossmoor,Olympia Fields,"211th St., Lincoln Hwy.",Matteson,Richton Park,University Park,17:43,17:46,17:49,-,-,-,-,-,17:56,-,-,-,-,-,-,-,-,-,-,-,18:07,18:11,18:14,18:17,18:20,-,-,-,-,-,-,-,-,-
